month,hc,raw,eff,damp,prof,ready,trust,pcap,fatigue,hmult,freed,net_pos,abs
0,540,13.89,1.45,10.45,15.04,25.08,20.02,35.02,0,0.2055,367.0,0.0,0.4333
1,540,17.34,1.82,10.48,15.08,25.16,20.04,35.04,0,0.2061,93.0,-286200.0,0.4333
2,540,21.26,2.23,10.51,15.14,25.24,20.07,35.07,0,0.2067,105.0,-572400.0,0.4333
3,539,25.53,2.69,10.54,15.2,25.3,20.11,35.1,0.0006,0.2073,116.0,-854600.0,0.4333
4,539,30.0,3.17,10.57,15.28,25.38,20.15,35.14,0.0006,0.208,121.0,-1136800.0,0.4336
5,539,34.47,3.65,10.6,15.37,25.46,20.2,35.18,0.0006,0.2088,123.0,-1419000.0,0.4336
6,537,45.68,4.86,10.64,15.49,25.49,20.27,35.23,0.0017,0.2094,305.0,-1693450.0,0.4336
7,537,51.33,5.48,10.67,15.62,25.57,20.34,35.3,0.0017,0.2104,156.0,-1697900.0,0.4341
8,537,56.74,6.08,10.72,15.77,25.65,20.43,35.37,0.0017,0.2115,153.0,-1702350.0,0.4341
9,536,61.82,6.66,10.78,15.94,25.7,20.52,35.45,0.0022,0.2125,146.0,-1702800.0,0.4341
10,536,66.49,7.2,10.82,16.11,25.78,20.61,35.54,0.0022,0.2136,135.0,-1703250.0,0.4343
11,536,70.69,7.69,10.88,16.3,25.86,20.72,35.64,0.0022,0.2149,125.0,-1703700.0,0.4343
12,530,74.38,8.14,10.95,16.5,25.79,20.83,35.69,0.0056,0.2154,113.0,-1677900.0,0.4343
13,530,77.55,8.5,10.96,16.7,25.87,20.94,35.79,0.0056,0.2168,90.0,-1652100.0,0.4358
14,530,80.21,8.84,11.02,16.91,25.95,21.06,35.91,0.0056,0.2181,87.0,-1626300.0,0.4358
15,530,82.39,9.14,11.09,17.13,26.03,21.18,36.02,0.0056,0.2195,75.0,-1600500.0,0.4358
16,530,84.15,9.39,11.16,17.36,26.11,21.31,36.14,0.0056,0.2209,64.0,-1574700.0,0.4358
17,530,85.54,9.61,11.23,17.59,26.19,21.44,36.27,0.0056,0.2223,54.0,-1548900.0,0.4358
18,530,86.62,9.79,11.31,17.82,26.27,21.57,36.39,0.0056,0.2237,46.0,-1523100.0,0.4358
19,530,87.45,9.95,11.38,18.06,26.35,21.7,36.52,0.0056,0.2252,40.0,-1497300.0,0.4358
20,530,88.09,10.09,11.45,18.3,26.43,21.84,36.65,0.0056,0.2266,35.0,-1471500.0,0.4358
21,530,88.57,10.21,11.53,18.54,26.51,21.97,36.78,0.0056,0.2281,30.0,-1445700.0,0.4358
22,530,88.93,10.32,11.6,18.78,26.59,22.11,36.91,0.0056,0.2296,27.0,-1419900.0,0.4358
23,530,89.2,10.42,11.68,19.02,26.67,22.25,37.04,0.0056,0.2311,25.0,-1394100.0,0.4358
24,530,89.41,10.51,11.75,19.27,26.75,22.38,37.17,0.0056,0.2326,23.0,-1368300.0,0.4358
25,530,89.56,10.59,11.83,19.51,26.83,22.52,37.31,0.0056,0.2341,22.0,-1342500.0,0.4358
26,530,89.67,10.68,11.9,19.76,26.91,22.67,37.45,0.0056,0.2356,21.0,-1316700.0,0.4358
27,529,89.76,10.75,11.98,20.01,26.96,22.81,37.57,0.0062,0.237,20.0,-1286900.0,0.4358
28,529,89.82,10.82,12.05,20.25,27.04,22.95,37.71,0.0062,0.2385,17.0,-1257100.0,0.436
29,529,89.87,10.9,12.13,20.5,27.12,23.09,37.85,0.0062,0.24,19.0,-1227300.0,0.436
30,529,89.9,10.97,12.2,20.75,27.2,23.23,37.99,0.0062,0.2415,19.0,-1197500.0,0.436
31,529,89.93,11.04,12.28,21.0,27.28,23.38,38.13,0.0062,0.2431,18.0,-1167700.0,0.436
32,529,89.95,11.12,12.36,21.25,27.36,23.52,38.27,0.0062,0.2446,18.0,-1137900.0,0.436
33,528,89.96,11.19,12.44,21.51,27.42,23.67,38.41,0.0068,0.246,18.0,-1103517.0,0.436
34,528,89.97,11.25,12.5,21.76,27.5,23.82,38.55,0.0068,0.2475,16.0,-1069133.0,0.4363
35,528,89.98,11.32,12.58,22.01,27.58,23.96,38.69,0.0068,0.2491,18.0,-1034750.0,0.4363
36,528,89.98,11.39,12.66,22.26,27.66,24.11,38.84,0.0068,0.2506,18.0,-1000367.0,0.4363
