id,family,name,status,hc_reduced,final_hc,net_savings,total_invest,total_savings,payback,final_prof,final_trust,final_ready,avg_damp,final_eff
SC-1.1,technology_injection,Copilot → Claims Processing,OK,40,500,2266383.333333333,2203200.0,4469583.333333333,21,40.23039001669247,43.53219713909484,53.41402517846017,0.3454,30.02
SC-1.2,technology_injection,Copilot → All Functions,OK,120,1250,10425316.666666672,5589600.0,16014916.666666672,17,50.105005415145676,55.310001639232425,63.78841141297018,0.4738,37.88
SC-1.5,technology_injection,Adoption Gap Only (Free Money),OK,97,1273,-1804200.0000000019,14467200.0,12662999.999999998,0,47.9619620219249,54.015601667913025,62.97333108055476,0.4682,31.66
SC-5.2,output_target,"Maintain Output, -20% Claims HC",OK,61,479,-547933.333333333,4341600.0,3793666.666666667,0,36.969024097619354,41.5882705856917,50.60750807226027,0.3225,38.97
SC-7.1,function_transformation,Claims Phased Transformation,OK,83,457,4379149.999999998,4341600.0,8720749.999999998,19,47.415376105676785,48.06742492315218,55.98530737406774,0.3617,51.68
SC-10.6,baseline,Do Nothing (Cost of Inaction),OK,0,1370,-5589600.0,5589600.0,0.0,0,33.75,46.25,57.95999999999994,1.0,0
SC-6.1,role_transformation,Redesign Claims Adjuster,OK,39,501,-177900.0,2786400.0,2608500.0,0,34.39451195669989,40.10858184620944,49.95994533487954,0.3198,27.18
SC-8.1,skill_intervention,Claims AI Academy,OK,0,540,-2008800.0,2008800.0,0.0,0,25.0,35.0,46.99999999999996,1.0,0
SC-2.1,headcount_target,Reduce 15% Org-Wide,OK,178,1192,2305283.333333334,11014800.0,13320083.333333334,21,47.00673593200171,53.44151685990548,61.14058292469409,0.4494,50.89
SC-2.2,headcount_target,Differentiated Function Targets,OK,178,1192,2305283.333333334,11014800.0,13320083.333333334,21,47.00673593200171,53.44151685990548,61.14058292469409,0.4494,50.89
SC-4.1,automation_target,Reach 35% Automation,OK,228,1142,15056716.666666675,14467200.0,29523916.666666675,17,57.26496667843847,59.95348756497208,66.60967482562204,0.4892,64.88
SC-3.1,budget_constraint,$2M Optimized Allocation,OK,178,1192,2305283.333333334,11014800.0,13320083.333333334,21,47.00673593200171,53.44151685990548,61.14058292469409,0.4494,50.89
SC-3.2,budget_constraint,Budget Allocation Comparison (3-way),OK,201,1169,10608633.333333328,14467200.0,25075833.33333333,21,54.88938993201695,58.35132190943079,65.56048354436163,0.4827,57.22
SC-5.3,output_target,"+20% Output, -15% HC in Claims",OK,71,469,456233.33333333395,4341600.0,4797833.333333334,22,38.78824834567555,42.65815402455934,51.198384144375204,0.3248,44.9
SC-12.2,composite,$15M in 24 Months (What Does It Take?),OK,208,1162,7309366.666666668,11014800.0,18324166.666666668,14,49.88834318351313,55.1646028439149,62.24216516418176,0.4539,58.32
SC-4.3,automation_target,Task Category Targets,OK,228,1142,15056716.666666675,14467200.0,29523916.666666675,17,57.26496667843847,59.95348756497208,66.60967482562204,0.4892,64.88
SC-9.1a,sequencing,Sequence: Claims → Finance → People,OK,132,833,4244099.999999998,10190400.0,14434499.999999998,25,47.05487840985658,51.8432987131887,60.25803303761657,0.4088,50.13
SC-9.1b,sequencing,Sequence: People → Finance → Claims,OK,132,833,4244099.999999998,10190400.0,14434499.999999998,25,47.05487840985658,51.8432987131887,60.25803303761657,0.4088,50.13
SC-9.1c,sequencing,Sequence: Finance → Claims → People,OK,132,833,4244099.999999998,10190400.0,14434499.999999998,25,47.05487840985658,51.8432987131887,60.25803303761657,0.4088,50.13
SC-9.3a,sequencing,Phase: Reskill → Deploy → Reduce,OK,71,469,1604183.333333332,5702400.0,7306583.333333332,28,44.857335414555685,46.40595925846692,54.95863865864333,0.3524,44.6
SC-9.3b,sequencing,Phase: Deploy → Reskill → Reduce,OK,71,469,1604183.333333332,5702400.0,7306583.333333332,28,44.857335414555685,46.40595925846692,54.95863865864333,0.3524,44.6
SC-9.3c,sequencing,Phase: Deploy → Reduce → Reskill,OK,42,498,-841650.0,5702400.0,4860750.0,0,40.25783411654384,43.54883674849501,53.38372217862106,0.3453,29.98
SC-7.2,function_transformation,Which Function First? (3-way comparison),OK,104,861,-1992616.666666666,6542700.0,4550083.333333334,0,34.1500891211307,44.584145801135065,53.77967353202221,0.3627,40.06
SC-8.2,skill_intervention,Reskill vs. Hire vs. Contract (AI Ops),OK,0,945,-3515400.0,3515400.0,0.0,0,42.5,50.0,59.49999999999996,1.0,0
SC-10.1,sensitivity,Readiness Sweep (20→90),OK,71,469,1604183.333333332,5702400.0,7306583.333333332,28,44.857335414555685,46.40595925846692,54.95863865864333,0.3524,44.6
SC-10.2,sensitivity,Readiness × Proficiency Interaction,OK,71,469,1604183.333333332,5702400.0,7306583.333333332,28,44.857335414555685,46.40595925846692,54.95863865864333,0.3524,44.6
SC-10.3,stress_test,Trust Destruction (2 AI Errors),OK,56,484,-279233.3333333321,5702400.0,5423166.666666668,0,41.27290861059643,34.30418064697513,53.43458543480739,0.2758,35.39
SC-10.4,stress_test,Attrition Shock (15% Tech Loss),OK,60,345,6897283.333333336,4276800.0,11174083.333333336,15,72.71967324547234,75.09974797317244,79.51314095608629,0.673,71.82
SC-10.5,stress_test,Breakpoint: HC Reduction Limit,OK,84,456,3764683.333333334,5702400.0,9467083.333333334,20,48.4925438832252,48.7858132793542,56.517918334123834,0.37,52.55
SC-11.1,regulatory,New Compliance Requirements (+30 tasks),OK,71,469,1604183.333333332,5702400.0,7306583.333333332,28,44.857335414555685,46.40595925846692,54.95863865864333,0.3524,44.6
SC-11.2,regulatory,AI Now Permitted for Claims Triage,OK,68,472,4248849.999999998,2786400.0,7035249.999999998,19,44.86833171060164,46.41297049275109,55.02398093973001,0.3527,44.63
SC-12.4,competitive,Competitor Match: 50% Claims Automation,OK,67,473,-376950.00000000047,3661200.0,3284249.9999999995,0,35.38711345558939,40.670347266350966,49.310170863213685,0.3109,42.4
SC-12.1,composite,Full 36-Month Transformation Program,OK,228,1142,15056716.666666675,14467200.0,29523916.666666675,17,57.26496667843847,59.95348756497208,66.60967482562204,0.4892,64.88
SC-12.3,composite,3-Year with Moving Ceiling (Annual Reassessment),OK,227,1143,13544383.333333328,14467200.0,28011583.33333333,19,56.5091894466547,59.43535463806288,66.21802904619803,0.4861,64.23
SC-7.3,function_transformation,Claims-to-Payment Workflow Automation,OK,98,681,2211023.333333333,4393560.0,6604583.333333333,18,41.75007918974373,45.48479102764709,54.062424188370905,0.3634,48.17
SC-7.4,org_restructure,Merge Claims Processing + Review,OK,0,540,-1911600.0,1911600.0,0.0,0,25.0,35.0,46.51999999999997,1.0,0
SC-6.2,role_transformation,Eliminate Claims Data Entry Clerk,OK,39,501,-1099550.0,2332800.0,1233250.0,0,30.160393161913206,37.74982010060043,47.248096135887586,0.2979,29.59
SC-6.3,role_transformation,Create AI Operations Specialist Role,OK,0,945,-3175200.0,3175200.0,0.0,0,42.5,50.0,58.53999999999998,1.0,0
SC-6.4,role_transformation,Role Vacancy: Claims Examiner Attrition,OK,0,540,-1814400.0,1814400.0,0.0,0,25.0,35.0,46.03999999999998,1.0,0
SC-2.4,headcount_target,Flatten Management Layers,OK,81,1289,-222466.66666666698,4849800.0,4627333.333333333,0,40.137315381745225,49.58124441539173,58.43988142157227,0.4336,28.09
